지역,대학,계열,전형유형,전형명,모집단위명,2018,2019,2020,2021,2022,경쟁률 추이
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,전자공학과,1.25,2.5,3,2.75,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,치위생학과,,,7.33,12.67,5,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,컴퓨터교육과,1.5,2.2,2.5,2.75,1.5,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,토목공학과,0.8,2,2.75,3,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,항공운항학과,11,7.5,4.95,3.12,,
강원,가톨릭관동대,자연,1.학생부종합,CKU종합전형,항공정비학과,,8,7.67,4.14,,
강원,가톨릭관동대,자연,1.학생부종합,가톨릭지도자추천전형,소프트웨어학과,1.5,2,1.5,1,,
강원,가톨릭관동대,자연,1.학생부종합,가톨릭지도자추천전형,수학교육과,2,2,1,1,1,
강원,가톨릭관동대,자연,1.학생부종합,가톨릭지도자추천전형,컴퓨터교육과,,,1,1,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,간호학과,6.52,4.92,8.48,7.28,7.33,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,"건축학부(건축공학전공, 건축학전공(5년제))",4.92,2.35,2.82,2.74,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,무인항공학과,4.33,5.4,5.38,7.4,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,소프트웨어학과,7.19,3.32,3.64,2.85,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,수학교육과,4.4,2.7,2.4,3.4,1.44,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,안경광학과,2.44,4.8,3.64,2.89,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,의료IT학과,6.47,3.29,2.44,1.94,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,의료공학과,6,2.35,2.39,2.27,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,의생명과학과,4.92,2.17,2.5,2.77,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,의예과,30.42,16,16.9,14.88,26.33,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,임상병리학과,6.97,5,6.24,6.4,6.72,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,전자공학과,5.18,4.48,3.19,2.96,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,치위생학과,,,16.64,6.16,9.42,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,컴퓨터교육과,6,2.25,4.24,2.29,2.78,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,토목공학과,4.83,4.91,2.68,2.1,,
강원,가톨릭관동대,자연,2.학생부교과,교과일반전형,항공정비학과,10.29,9.27,11,7.75,,
강원,가톨릭관동대,자연,2.학생부교과,기초생활및차상위전형(외),간호학과,,4,5.71,11.8,,
강원,가톨릭관동대,자연,2.학생부교과,기초생활및차상위전형(외),의예과,,13,12.5,18,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,간호학과,,5.6,5.8,12.4,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,"건축학부(건축공학전공, 건축학전공(5년제))",1.4,3.5,1.67,1,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,의료IT학과,1.75,0.5,1.33,1.33,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,의료공학과,2.33,1,1.33,1.33,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,의생명과학과,1.6,1.5,1.33,1,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,의예과,,,22,23.5,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,임상병리학과,,3.5,4.5,4,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,전자공학과,2,2,2.33,1.67,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,치위생학과,,,4.67,4.67,,
강원,가톨릭관동대,자연,2.학생부교과,기회균형전형,토목공학과,1.17,1.5,1.67,1.33,,
강원,가톨릭관동대,자연,2.학생부교과,농어촌학생전형(외),간호학과,,4.8,5.14,6.1,,
강원,가톨릭관동대,자연,2.학생부교과,농어촌학생전형(외),의예과,,11.5,21,43,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,간호학과,4.83,8.4,5.64,7.56,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,"건축학부(건축공학전공, 건축학전공(5년제))",1,2.85,3.58,1.2,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,무인항공학과,,4,2.5,3.67,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,소프트웨어학과,1,3.8,3,2.5,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,수학교육과,1.5,3.5,2.4,2.6,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,안경광학과,,2.67,2.4,2,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,의료IT학과,0.75,2,2.67,1.33,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,의료공학과,0.5,3.75,2.17,3,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,의생명과학과,1,2.25,2.71,2.14,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,의예과,8.5,12.88,14,10.25,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,임상병리학과,,4.83,10.2,4.4,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,전자공학과,0.67,3.5,4,3.43,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,치위생학과,,,11.2,7.4,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,컴퓨터교육과,1,2.6,3.2,2.4,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,토목공학과,0.5,2.63,3.14,2.43,,
강원,가톨릭관동대,자연,2.학생부교과,지역인재전형,항공정비학과,,5.25,4.33,2.67,,
강원,강릉원주대,인문,1.학생부종합,농어촌학생전형(외),다문화학과,2,5,3,5,,
강원,강릉원주대,인문,1.학생부종합,농어촌학생전형(외),사회과학대학,3.33,3.22,5.44,3.78,,
