지역,대학,계열,전형유형,세부전형명,모집단위명,입결등급 기준,2019,2020,2021,2022,수시등급 트렌드,평균등급,2019등급,2020등급,2021등급,2022등급,평균
강원,강원대,자연,2.학생부교과,지역인재전형,동물응용과학과,최초합격자평균,3.8,5,4.52,4.76,,4.52,3등급,5등급,4등급,4등급,4등급
강원,강원대,자연,2.학생부교과,지역인재전형,동물자원과학과,최초합격자평균,4.7,4.7,4.32,4.47,,4.55,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,2.학생부교과,지역인재전형,목재종이과학부,최초합격자평균,4.3,4.4,4.46,5.5,,4.67,4등급,4등급,4등급,5등급,4등급
강원,강원대,자연,2.학생부교과,지역인재전형,물리학과,최초합격자평균,3.6,4,3.47,5.82,,4.22,3등급,4등급,3등급,5등급,4등급
강원,강원대,자연,2.학생부교과,지역인재전형,바이오산업공학부,최초합격자평균,3.6,3.5,3.73,4,,3.71,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,분자생명과학과,최초합격자평균,3.5,3.4,3.33,4.44,,3.67,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,산림과학부,최초합격자평균,3.3,3.4,3.7,3.94,,3.59,3등급,3등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,생명건강공학과,최초합격자평균,3.9,3.5,3.79,4.3,,3.87,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,생명과학과,최초합격자평균,2.7,2.8,3.07,3.32,,2.97,2등급,2등급,3등급,3등급,2등급
강원,강원대,자연,2.학생부교과,지역인재전형,생물의소재공학과,최초합격자평균,3.6,3.9,3.84,4.24,,3.9,3등급,3등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,생물자원과학부,최초합격자평균,3.8,4.3,4.73,4.46,,4.32,3등급,4등급,4등급,4등급,4등급
강원,강원대,자연,2.학생부교과,지역인재전형,생태조경디자인학과,최초합격자평균,3.8,4,3.85,4.15,,3.95,3등급,4등급,3등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,수의예과,최초합격자평균,1.3,1.3,1.37,1.66,,1.41,1등급,1등급,1등급,1등급,1등급
강원,강원대,자연,2.학생부교과,지역인재전형,수학과,최초합격자평균,2.6,2.6,3.2,3.07,,2.87,2등급,2등급,3등급,3등급,2등급
강원,강원대,자연,2.학생부교과,지역인재전형,수학교육과,최초합격자평균,1.9,2.2,2.34,2.74,,2.3,1등급,2등급,2등급,2등급,2등급
강원,강원대,자연,2.학생부교과,지역인재전형,에너지자원산업공학부,최초합격자평균,4.2,3.6,4.05,4.13,,4,4등급,3등급,4등급,4등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,원예농업자원경제학부,최초합격자평균,4.1,4.2,4.33,4.12,,4.19,4등급,4등급,4등급,4등급,4등급
강원,강원대,자연,2.학생부교과,지역인재전형,의생명융합학부,최초합격자평균,3.2,2.9,2.86,3.24,,3.05,3등급,2등급,2등급,3등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,자유전공학부(자연계열),최초합격자평균,,3.2,3.12,3.92,,3.41,,3등급,3등급,3등급,3등급
강원,강원대,자연,2.학생부교과,지역인재전형,전기전자공학과,최초합격자평균,3.3,2.7,2.72,3.08,,2.95,3등급,2등급,2등급,3등급,2등급
